file,expected_plate,dataset,split,original_filename,width,height,sha256
blue-arl321.jpg,皖ARL321,CCPD2019,val,00241379310345-90_90-301&482_388&518-390&519_307&519_306&481_389&481-0_0_15_10_27_26_25-115-17.jpg,720,1160,64fb2bdcf72900a0e3c422d30793a7f7b152197d2b8835f076c116883e3cbec7
blue-at260j.jpg,皖AT260J,CCPD2019,val,002344348659-90_84-429&369_530&406-525&405_425&398_428&364_528&371-0_0_17_26_30_24_8-105-11.jpg,720,1160,ff78ab63a2bacf7c7f52e18ba682bf71546b67d1c96233c2cbb1ca21eafb039f
blue-01.jpg,皖AMJ570,CCPD2019,val,0264798850574-90_88-323&519_633&618-647&625_324&625_335&514_658&514-0_0_11_8_29_31_24-63-81.jpg,720,1160,e5e0b92c8f6281033010458ad0701be58cbc5b85af9ada909047e492f79bffe9
blue-02.jpg,皖AW1L15,CCPD2019,val,0169348659004-90_94-294&478_536&563-524&555_295&559_297&475_526&471-0_0_20_25_10_25_29-128-18.jpg,720,1160,9ca307d6d8b1481383b55ea456efa70b93366998d511911ae7d7f561f61e9c65
blue-03.jpg,皖A356K4,CCPD2019,val,0368175287357-80_100-219&476_490&611-486&561_224&614_242&519_504&466-0_0_27_29_30_9_28-156-82.jpg,720,1160,74b8f65677fa31044993686c6139a40a2b796203839bea0062fc66dd44feaec8
blue-04.jpg,皖A210T1,CCPD2019,val,0083429118774-94_82-215&299_361&365-354&367_213&351_215&301_356&317-0_0_26_25_24_17_25-59-9.jpg,720,1160,47c7d5cc24f54971fac1fc39a81e7980639ab71963e1361faa25a7dc08f3042f
blue-05.jpg,皖ADJ211,CCPD2019,val,0286602011495-90_84-120&556_447&650-433&651_125&664_110&568_418&555-0_0_3_8_26_25_25-104-121.jpg,720,1160,a16acfed5cc24ab21b77d1fe3aab621e33e1d9410ae7987b8eabd5148cfe1f26
blue-06.jpg,皖A060P0,CCPD2019,val,0159482758621-95_82-140&337_361&434-358&439_139&400_129&324_348&363-0_0_24_30_24_13_24-36-21.jpg,720,1160,f976c5e5e725b637b2f27b9ff03c5cdb55eb26b0547de79beebe8915c1de50a0
blue-07.jpg,皖AW9X37,CCPD2019,val,0284159482759-90_89-184&482_497&587-521&577_191&592_189&483_519&468-0_0_20_33_21_27_31-101-119.jpg,720,1160,2a0a865a703d9ad0c800e5ecfc2500cf2567d3e37937b69a8708ea1369d7a3c9
blue-08.jpg,皖A539S2,CCPD2019,val,0224137931034-90_85-239&463_502&556-508&548_243&552_243&466_508&462-0_0_29_27_33_16_26-109-76.jpg,720,1160,766ef667086b107bfcf538727e6855286230534932ab466717d5224edbf0abba
blue-09.jpg,皖A9H086,CCPD2019,val,0220007183908-91_92-172&413_436&500-441&511_172&500_180&407_449&418-0_0_33_7_24_32_30-148-37.jpg,720,1160,f3c0eb201bbf9bb7eb690a7b2cd30ee8bfc195376dec2d6b9a323577b5df77a8
blue-10.jpg,皖AX187E,CCPD2019,val,0273958333333-94_83-229&413_502&518-508&523_234&494_223&400_497&429-0_0_21_25_32_31_4-149-43.jpg,720,1160,65a86aec964eaf985e6692bd6c7cfa24e70e80c9a0edcd10add5895b8b41f444
blue-11.jpg,皖AU258M,CCPD2019,val,0116666666667-91_87-283&507_462&575-472&576_280&572_282&507_474&511-0_0_18_26_29_32_11-123-38.jpg,720,1160,71262169b2a6a5db2ce9f7ba8519dfcd27007b6b354577a88b633d1341021830
blue-12.jpg,皖AR268J,CCPD2019,val,015161637931-89_90-206&509_425&586-432&579_202&589_190&514_420&504-0_0_15_26_30_32_8-81-19.jpg,720,1160,4fac83066910eacba17b82cab5f634dfd03dde6937bcc0f0e85900e98a18dde7
blue-13.jpg,皖A1G866,CCPD2019,val,0220593869731-96_80-275&492_492&617-496&639_266&572_258&475_488&542-0_0_25_6_32_30_30-102-11.jpg,720,1160,aac0db5829b95d6c55a969fd1e9dec55542c82291d2ad5b4074c8cb811c82010
blue-14.jpg,皖L8J609,CCPD2019,val,00942528735633-91_91-313&588_486&645-483&652_310&645_313&585_486&592-0_10_32_8_30_24_33-153-10.jpg,720,1160,448b9d9a8caedb7d11478976f935a0b202c9e96aa31f9b2db5ddc052b6bd7ae6
blue-15.jpg,皖A093S0,CCPD2019,val,0225275383142-89_86-202&460_483&538-487&549_210&548_211&455_488&456-0_0_24_33_27_16_24-80-43.jpg,720,1160,5434a31434cd1efb552565052cf6552179ee0a88f0c6f029dc0bad19e9ee830c
blue-16.jpg,皖A01X34,CCPD2019,val,0258943965517-95_86-237&542_499&651-495&653_236&618_235&538_494&573-0_0_24_25_21_27_28-30-34.jpg,720,1160,8166479c3ffcc83060f41e749dfed9bdc822046da36d54f8a772f96abe9031de
blue-17.jpg,皖BW8771,CCPD2019,val,0286721743295-90_84-274&469_602&557-589&559_273&560_265&466_581&465-0_1_20_32_31_31_25-94-230.jpg,720,1160,97b5991afbe1ef149f4f689e7fdc65658f90ba886653bb0097a2414d45c0256a
blue-18.jpg,苏D579V0,CCPD2019,val,0210081417624-90_86-182&500_490&582-499&580_195&585_191&491_495&486-10_3_29_31_33_19_24-131-74.jpg,720,1160,20faf1f315d2d97c6305bbbfa6f283bfbe8a78774aa0d105a22ee545039a2280
green-ad07180.jpg,皖AD07180,CCPD2020,val,0312109375-93_258-223&449_529&552-529&552_234&527_223&449_526&467-0_0_3_24_31_25_32_24-86-29.jpg,720,1160,80aaf0b0b7a3bf4baf451f93aac934e2052bc09d95bb3ffbc38b5db8a1b0b4fe
green-ad06151.jpg,皖AD06151,CCPD2020,val,0240625-95_264-206&378_437&483-437&483_207&450_206&378_435&402-0_0_3_24_30_25_29_25-163-89.jpg,720,1160,b3b5ae2fa050de69fb03eb8296ead8d284114732f00ee23ed2bb2e58f6852acc
green-01.jpg,皖AD09528,CCPD2020,val,306259114583333333-96_94-151&433_588&577-572&577_157&527_151&433_588&469-0_0_3_24_33_29_26_32-89-10.jpg,720,1160,b76069c2edf3f628383056d76d77a971ab8c217129a992c6ecbfb464f34666bb
green-02.jpg,皖AD36866,CCPD2020,val,304739583333333333-84_124-153&482_543&605-506&561_153&605_193&513_543&482-0_0_3_27_30_32_30_30-52-80.jpg,720,1160,c2d47db7c832e0430086e1a25c87af39dafebcc46fefa07870b063f2969abd9f
green-03.jpg,皖AD12368,CCPD2020,val,0579166666667-93_264-132&398_549&538-539&538_136&505_132&398_549&426-0_0_3_25_26_27_30_32-143-538.jpg,720,1160,01e095359f637f59dff87c387e5dbbdc281ae535026c9b5974269c586a8ac60a
green-04.jpg,沪AD62628,CCPD2020,val,0219216579861-95_90-299&396_526&493-521&493_299&465_299&396_526&421-1_0_3_30_26_30_26_32-103-74.jpg,720,1160,c5ea767bdff7087faa6d6c80a906b586d17d381402b22e2c594b84e8ec4dd70d
green-05.jpg,皖AD08780,CCPD2020,val,0184646267361-94_262-258&427_479&512-479&512_261&489_258&427_477&447-0_0_3_24_32_31_32_24-128-27.jpg,720,1160,8cd392474a20a7c2bf126357ff37fe1a2b6587fa79ebf7309162f7ed4db6f46c
green-06.jpg,皖AF06789,CCPD2020,val,0174620225694-91_258-251&441_460&525-460&525_260&495_251&441_458&447-0_0_5_24_30_31_32_33-145-17.jpg,720,1160,675aba1750d1e362186578f353a0cd93a4d4c456ef15a1de486473b53800ecec
green-07.jpg,皖AD02431,CCPD2020,val,0220648871528-91_263-196&438_441&529-441&529_203&513_196&438_434&446-0_0_3_24_26_28_27_25-91-21.jpg,720,1160,44bd5043c2e4b03545cd4f39b14bb408646d613b191449635372dae72e9b70f7
green-08.jpg,皖AF00202,CCPD2020,val,039598524305555556-103_249-182&486_439&642-439&642_194&582_182&486_435&551-0_0_5_24_24_26_24_26-76-22.jpg,720,1160,e7f02866eea17408a4e924019aa23533df978c42b298c7cefe039434cdeb0f05
green-09.jpg,皖AD05869,CCPD2020,val,0324088541667-83_259-244&456_506&581-497&534_244&581_249&492_506&456-0_0_3_24_29_32_30_33-69-76.jpg,720,1160,23b729921576a534720b8115e64a2e6c7ebcc26975e708f08270a201476077e8
green-10.jpg,浙BF10006,CCPD2020,val,306678385416666667-94_101-119&448_565&599-539&599_124&562_119&448_565&488-11_1_5_25_24_24_24_30-100-287.jpg,720,1160,259f1ee85cdc9f5ad9389768448b16fc6d75c137eb87cfbc25afe3a163cf4214
green-11.jpg,皖AD17789,CCPD2020,val,0252777777778-94_249-268&493_524&593-524&593_285&558_268&493_517&515-0_0_3_25_31_31_32_33-103-57.jpg,720,1160,0b4f4ff230751d7480fafcb1f35de3abaacfbf5b51d0f7cbcf381e87529f49df
green-12.jpg,皖DD00507,CCPD2020,val,303017578125-82_121-232&454_502&566-475&526_232&566_248&479_502&454-0_3_3_24_24_29_24_31-80-43.jpg,720,1160,ea5cce0eb80fd082447a849a55447add2aa92ddd3d42a28e527e91fe550443af
green-13.jpg,皖AD06196,CCPD2020,val,304387152777777778-87_91-181&439_542&562-542&538_192&562_181&448_536&439-0_0_3_24_30_25_33_30-71-22.jpg,720,1160,cd4cbb0e986676574ec15d48295642ee980be5335c50b256c1348b599317a938
